iter	Passed	Remaining
473	670	744
474	671	742
475	673	741
476	674	739
477	675	737
478	676	735
479	677	733
480	678	731
481	679	729
482	679	727
483	680	725
484	681	723
485	682	722
486	683	720
487	684	718
488	685	716
489	686	714
490	688	713
491	689	711
492	690	709
493	691	707
494	692	706
495	693	704
496	694	702
497	695	700
498	696	698
499	697	697
500	697	695
501	698	693
502	700	691
503	701	690
504	703	689
505	704	687
506	705	685
507	706	683
508	707	682
509	707	680
510	708	678
511	709	676
512	711	675
513	711	673
514	712	671
515	714	669
516	715	668
517	716	666
518	717	665
519	718	663
520	719	661
521	720	659
522	721	658
523	722	656
524	723	654
525	724	652
526	725	651
527	726	649
528	727	647
529	728	646
530	729	644
531	730	642
532	732	641
533	733	640
534	734	638
535	735	636
536	736	635
537	737	633
538	738	631
539	739	629
540	740	628
541	741	626
542	742	624
543	743	623
544	744	621
545	745	620
546	746	618
547	748	616
548	748	615
549	750	613
550	751	612
551	752	610
552	753	608
553	754	607
554	755	605
555	756	604
556	757	602
557	758	600
558	759	599
559	760	597
560	761	596
561	762	594
562	763	592
563	764	591
564	765	589
565	766	587
566	767	586
567	768	584
568	769	583
569	770	581
570	771	579
571	772	578
572	773	576
573	774	575
574	776	573
575	777	572
576	778	570
577	779	569
578	780	567
579	781	565
580	782	564
581	783	562
582	784	561
583	785	559
584	786	558
585	787	556
586	788	554
587	789	553
588	790	551
589	791	550
590	793	548
591	794	547
592	795	545
593	796	544
594	796	542
595	798	540
596	799	539
597	800	537
598	801	536
599	802	534
600	803	533
601	804	531
602	805	530
603	807	529
604	808	527
605	809	526
606	810	524
607	811	523
608	812	521
609	813	519
610	814	518
611	815	516
612	816	515
613	817	513
614	818	512
615	819	510
616	820	509
617	821	508
618	822	506
619	823	504
620	824	503
621	826	501
622	826	500
623	828	498
624	829	497
625	830	495
626	831	494
627	832	492
628	833	491
629	834	489
630	835	488
631	836	487
632	837	485
633	838	484
634	839	482
635	840	481
636	841	479
637	842	478
638	843	476
639	844	475
640	845	473
641	846	472
642	847	470
643	849	469
644	850	467
645	851	466
646	852	465
647	853	463
648	854	462
649	856	460
650	857	459
651	858	458
652	859	456
653	860	455
654	861	453
655	862	452
656	863	450
657	864	449
658	866	448
659	867	446
660	868	445
661	869	444
662	870	442
663	871	441
664	872	439
665	873	438
666	874	436
667	875	435
668	876	433
669	877	432
670	878	430
671	879	429
672	881	428
673	882	426
674	883	425
675	884	423
676	885	422
677	886	420
678	887	419
679	888	417
680	889	416
681	890	415
682	891	413
683	892	412
684	893	410
685	894	409
686	895	407
687	896	406
688	897	405
689	898	403
690	899	402
691	900	400
692	901	399
693	902	398
694	904	396
695	905	395
696	905	393
697	906	392
698	907	390
699	908	389
700	909	388
701	911	387
702	912	385
703	913	384
704	914	382
705	916	381
706	917	380
707	918	378
708	919	377
709	920	376
710	921	374
711	922	373
712	924	371
713	927	371
714	928	370
715	930	368
716	931	367
717	933	366
718	934	365
719	935	363
720	937	362
721	938	361
722	939	360
723	941	358
724	942	357
725	944	356
726	946	355
727	947	354
728	948	352
729	950	351
730	952	350
731	954	349
732	956	348
733	959	347
734	960	346
735	962	345
736	964	344
737	965	342
738	967	341
739	969	340
740	971	339
741	972	338
742	973	336
743	975	335
744	976	334
745	977	332
746	978	331
747	980	330
748	981	329
749	983	327
750	986	327
751	988	325
752	989	324
753	990	323
754	991	321
755	992	320
756	993	319
757	995	317
758	996	316
759	997	315
760	999	313
761	1001	312
762	1002	311
763	1004	310
764	1005	308
765	1006	307
766	1008	306
767	1009	304
768	1010	303
769	1012	302
770	1013	301
771	1017	300
772	1019	299
773	1020	298
774	1022	296
775	1023	295
776	1024	294
777	1026	292
778	1027	291
779	1028	290
780	1031	289
781	1032	287
782	1034	286
783	1036	285
784	1037	284
785	1038	282
786	1040	281
787	1041	280
788	1042	278
789	1046	278
790	1048	277
791	1050	275
792	1051	274
793	1053	273
794	1054	271
795	1055	270
796	1056	269
797	1058	267
798	1060	266
799	1062	265
800	1064	264
801	1065	263
802	1066	261
803	1067	260
804	1068	258
805	1069	257
806	1070	256
807	1072	254
808	1073	253
809	1074	252
810	1076	250
811	1077	249
812	1078	248
813	1080	246
814	1081	245
815	1082	243
816	1083	242
817	1084	241
818	1085	239
819	1086	238
820	1087	237
821	1088	235
822	1089	234
823	1090	232
824	1092	231
825	1093	230
826	1094	228
827	1095	227
828	1096	226
829	1097	224
830	1098	223
831	1099	222
832	1100	220
833	1101	219
834	1102	217
835	1103	216
836	1105	215
837	1106	213
838	1107	212
839	1108	211
840	1109	209
841	1112	208
842	1113	207
843	1114	206
844	1115	204
845	1116	203
846	1117	201
847	1118	200
848	1120	199
849	1121	197
850	1122	196
851	1123	195
852	1125	193
853	1125	192
854	1126	191
855	1127	189
856	1128	188
857	1129	186
858	1130	185
859	1131	184
860	1132	182
861	1134	181
862	1135	180
863	1136	178
864	1137	177
865	1138	176
866	1139	174
867	1140	173
868	1141	172
869	1142	170
870	1143	169
871	1144	168
872	1145	166
873	1146	165
874	1147	163
875	1150	162
876	1151	161
877	1152	160
878	1153	158
879	1154	157
880	1155	156
881	1156	154
882	1157	153
883	1158	152
884	1159	150
885	1160	149
886	1161	147
887	1162	146
888	1165	145
889	1166	144
890	1167	142
891	1168	141
892	1169	140
893	1170	138
894	1171	137
895	1172	136
896	1173	134
897	1174	133
898	1175	132
899	1176	130
900	1178	129
901	1179	128
902	1181	126
903	1182	125
904	1183	124
905	1184	122
906	1185	121
907	1186	120
908	1187	118
909	1188	117
910	1189	116
911	1190	114
912	1191	113
913	1192	112
914	1194	110
915	1195	109
916	1196	108
917	1197	106
918	1198	105
919	1199	104
920	1200	102
921	1201	101
922	1202	100
923	1203	98
924	1204	97
925	1205	96
926	1206	95
927	1207	93
928	1208	92
929	1210	91
930	1211	89
931	1212	88
932	1213	87
933	1214	85
934	1215	84
935	1216	83
936	1217	81
937	1218	80
938	1219	79
939	1221	77
940	1227	76
941	1228	75
942	1230	74
943	1232	73
944	1233	71
945	1234	70
946	1236	69
947	1239	67
948	1241	66
949	1242	65
950	1244	64
951	1245	62
952	1246	61
953	1249	60
954	1250	58
955	1252	57
956	1255	56
957	1256	55
958	1257	53
959	1259	52
960	1260	51
961	1262	49
962	1263	48
963	1264	47
964	1266	45
965	1267	44
966	1269	43
967	1270	42
968	1271	40
969	1272	39
970	1273	38
971	1275	36
972	1276	35
973	1277	34
974	1278	32
975	1280	31
976	1281	30
977	1282	28
978	1284	27
979	1285	26
980	1286	24
981	1287	23
982	1288	22
983	1289	20
984	1290	19
985	1292	18
986	1293	17
987	1294	15
988	1295	14
989	1296	13
990	1297	11
991	1298	10
992	1299	9
993	1300	7
994	1301	6
995	1302	5
996	1303	3
997	1305	2
998	1306	1
999	1307	0
